year,engine_name,cylinders,bore_mm,stroke_mm,displacement_cm3,compression_ratio,con_rod_length_mm,con_rod_to_stroke_ratio,intake_valve_dia_mm,intake_valve_lift_mm,exhaust_valve_dia_mm,exhaust_valve_lift_mm,intake_duration_deg,exhaust_duration_deg,LSA_deg,advance_deg,source_file
1933,BMW 132 P&W R-1690 Copy,9,155.5,162,27689.0587,6,343,2.1173,69,14.8,69,14.8,277,277,118,-0.5,aircraft/bmw_132_1692_r9.mr
1934,Continental XO-1430 Hyper,12,139.7,127,23359.7215,6.3,196.85,1.55,69.85,14.1732,63.5,11.9126,265,265,112.5,0,aircraft/continental_xo1430_f12.mr
1934,Continental XO-1430 Hyper Prototype,12,117.475,127,16518.3155,6.3,196.85,1.55,61.595,12.7,53.975,9.525,255,265,110,2.5,aircraft/continental_xo1010_f12.mr
1934,Wright SGV-1800 1000 @ 2400,12,142.875,152.4,29320.3116,7,247.65,1.625,55.5,14.2875,54.61,14.2875,247,265,109.5,-5.5,aircraft/wright_sgv1800_1821_v12.mr
1934,М-56 ЦИАМ 700 @,14,130,135,25086.4027,6.3,265,1.963,65,13.5,65,13.5,239,279,109.5,5,aircraft/m56_1535_r14.mr
1935,Wright R-2600 Twin Cyclone 1200 @ 2700,14,155.575,160.337,42670.8496,6.9,349.25,2.1782,63.5,14.2875,63.5,14.2875,250,285,103.75,-1.25,aircraft/wright_r2600_2608_r14.mr
1937,Rolls-Royce Vulture,24,127,139.7,42472.2209,6,233.68,1.6727,42.5,9,42.5,9,264,260,109,1,aircraft/rr_vulture_2622_x24.mr
1939,М-36,18,160,190,68763.18,6,315,1.6579,57,15,52.5,15,248,235,110.75,-3.25,aircraft/m36_4214_y18.mr
1944,Daimler-Benz DB 609A,16,165,180,61581.4992,8.5,310,1.7222,66,14.1,63,14.1,290,290,92.5,9.5,aircraft/db609a_3758_v16.mr
1947,АШ-21 700 @ 2300 ; 1954 АИ-26,7,155.5,155,20605.3695,6.4,305,1.9677,78,17,78,17,263,263,105,-6.5,aircraft/ash21_1260_r7.mr
1948,Cirrus Bombardier 180 @ 2600,4,121.92,139.7,6523.7331,7,254,1.8182,59.5313,15.1892,46.8312,14.6939,289,294,109.75,-7.75,aircraft/cirrus_398_i4.mr
2000,Napier Cub 1074 @ 2000,16,158.75,190.5,60329.8592,5.3,330.2,1.7333,60.325,12.7,53.975,12.7,244,238,110.5,-1.5,aircraft/napier_cub_3687_x16.mr
